Date,CO,Ozone,NO,NO2,NOX,NH3,SO2,PM2.5,PM10,AQI
01-01-2024,0.81,12,5.7,11.6,17.4,8.8,6.6,31,59,59
02-01-2024,0.66,13.4,5.8,11.6,17.5,8.9,8.9,39,64,65
03-01-2024,0.55,16.9,5.8,11.5,17.3,8.8,10.3,34,61,61
04-01-2024,0.83,13.7,5.8,11.6,17.4,8.8,9.2,35,60,60
05-01-2024,0.5,14.8,5.7,11.5,17.2,8.8,8.4,21,37,37
06-01-2024,0.59,13.8,5.7,11.7,17.4,8.8,7.4,25,46,46
07-01-2024,0.58,14.4,5.8,11.6,17.4,8.8,7.8,29,37,48
08-01-2024,0.97,13.6,5.7,11.6,17.3,8.8,8.7,24,29,40
09-01-2024,0.68,12.8,5.7,11.6,17.3,8.8,9,26,26,43
10-01-2024,0.78,14.3,5.9,11.5,17.4,8.8,7.7,28,25,47
11-01-2024,0.59,14.1,5.8,11.5,17.3,9,10.6,22,24,37
13-01-2024,0.7,15.6,5.9,11.6,17.5,8.7,6.2,21,39,39
14-01-2024,0.61,15.5,5.7,11.6,17.3,8.8,6.2,23,45,45
15-01-2024,0.88,16.2,5.8,11.6,17.5,8.8,5.5,33,66,66
16-01-2024,0.79,17.2,5.9,11.7,17.6,8.7,6.3,53,98,98
17-01-2024,0.71,17.2,5.8,11.7,17.5,8.7,5.1,41,104,103
18-01-2024,0.6,18.3,5.7,11.6,17.3,8.7,5.5,30,76,76
19-01-2024,0.56,14.6,5.8,11.5,17.3,8.7,8.1,19,58,58
20-01-2024,0.9,12.5,5.8,11.5,17.3,8.8,9.6,23,62,62
21-01-2024,0.53,14.2,5.9,11.6,17.5,8.7,8.6,17,48,48
22-01-2024,0.52,14.9,5.8,11.5,17.4,8.7,9.1,22,62,62
23-01-2024,0.59,15.2,5.9,11.4,17.4,8.7,7.3,22,64,64
24-01-2024,0.56,17.3,5.9,11.4,17.3,8.7,7.9,23,56,56
25-01-2024,0.58,17.8,5.9,11.3,17.2,8.7,6.9,26,72,72
26-01-2024,0.48,17.7,5.9,11.3,17.2,8.6,8.7,24,59,59
27-01-2024,0.54,17.9,6.1,11.1,17.2,8.8,7.5,22,60,60
28-01-2024,0.54,18,6.1,11,17.2,8.7,8.4,22,49,49
29-01-2024,0.54,17.4,6.2,11.1,17.3,8.7,9.5,22,34,37
30-01-2024,0.57,19.5,6.1,11,17.2,8.7,8.5,26,46,46
31-01-2024,0.55,16.7,6.1,11.1,17.3,8.7,10,25,45,45
01-02-2024,0.55,17.8,6.4,11,17.4,8.6,6.3,27,48,48
02-02-2024,0.61,15.3,6.4,10.8,17.2,8.7,6.6,26,47,47
03-02-2024,0.64,15.7,6.1,10.9,17.1,8.7,8.6,24,44,44
04-02-2024,0.48,17.8,6.2,10.9,17.1,8.7,8.3,23,43,43
05-02-2024,0.59,16.7,6.6,10.7,17.4,8.7,8.7,26,47,47
06-02-2024,0.73,17.2,6.4,10.7,17.1,8.7,8.9,24,44,44
07-02-2024,0.55,18.2,6.5,10.6,17.1,8.6,7.9,25,45,45
08-02-2024,0.57,18.4,6.6,10.5,17.1,8.6,9.7,25,45,45
09-02-2024,0.69,17,6.6,10.3,17,8.6,8.2,20,36,36
10-02-2024,0.66,17.4,6.7,10.2,16.9,8.6,9.7,25,46,46
11-02-2024,0.56,17,6.6,10.1,16.8,8.6,8.7,30,54,54
12-02-2024,0.66,15.6,6.9,10.1,16.9,8.5,7.9,25,46,47
13-02-2024,0.77,16.3,6.9,9.6,16.5,8.6,10.7,18,34,38
14-02-2024,0.54,17.4,7,9.9,16.9,8.5,8.1,20,38,38
15-02-2024,0.6,24.6,7,9.7,16.8,8.5,8.4,16,31,31
16-02-2024,0.7,18.7,7,9.6,16.6,8.5,8.9,21,38,47
17-02-2024,0.56,16.8,7.2,9.4,16.6,8.5,8.1,17,32,32
18-02-2024,0.49,14.8,7.3,9.3,16.6,8.5,8.6,14,27,27
19-02-2024,0.74,16.6,7.3,9.4,16.6,8.5,8.3,19,36,37
20-02-2024,0.78,17.6,7.2,9.4,16.7,8.5,9.1,31,55,55
21-02-2024,0.66,20.9,7.4,9.1,16.5,8.5,9.9,37,63,63
22-02-2024,0.8,17.7,7.3,9.1,16.4,8.5,8.2,27,52,52
23-02-2024,0.57,15.7,7.7,8.9,16.6,8.4,8.4,22,48,48
24-02-2024,1.63,16.9,7.6,8.9,16.5,8.4,8.5,20,47,47
25-02-2024,0.68,18.7,7.9,8.5,16.4,8.5,8.2,33,64,64
10-05-2024,0.4,23.5,8.4,7.6,16.1,5.1,7.5,15,33,32
13-05-2024,0.41,12.1,8.4,7.5,15.8,5.2,7.8,6,15,21
14-05-2024,0.43,12.8,8.4,7.9,16.3,5,8.2,7,16,22
15-05-2024,0.44,16.3,8.2,7.9,16.1,5.1,8.3,8,20,22
16-05-2024,0.38,14.7,7.8,7.8,15.6,4.9,7.4,10,22,22
17-05-2024,0.35,18.4,8.2,7.8,16,5.1,6.1,8,21,21
18-05-2024,0.48,18.8,8.1,7.9,16,5.1,9.3,9,25,31
19-05-2024,0.47,14.9,8.4,7.7,16.2,5.1,9,10,18,24
20-05-2024,0.43,15.6,8.4,7.9,16.3,5.1,8.2,8,17,22
21-05-2024,0.5,16.9,8.2,7.8,16,5.1,9.6,8,19,25
22-05-2024,0.47,18,8.4,7.6,16,5.1,9.1,7,14,24
23-05-2024,0.42,15.2,8.1,7.9,16,5.3,8.4,6,12,21
24-05-2024,0.47,17.8,8,7.8,15.8,5.1,9.1,6,14,21
25-05-2024,0.51,16.5,8.1,7.9,16.1,5,9.7,8,22,26
26-05-2024,0.44,15.3,8.1,7.8,16,5.1,8.4,10,22,22
27-05-2024,0.35,14.5,8.1,7.9,16,5,6.7,6,20,20
28-05-2024,0.47,15.1,8.3,7.8,16.1,5,9,6,15,24
29-05-2024,0.52,14.7,8.1,7.9,16,5,9.9,4,8,26
30-05-2024,0.45,15.5,8.3,7.9,16.2,4.9,8.5,7,17,23
31-05-2024,0.49,13.6,8.1,8,16.2,4.9,9.4,8,22,25
10-06-2024,0.51,14.9,8.2,7.7,16,4.9,9.6,8,16,26
11-06-2024,0.44,14.8,8,8.2,16.1,4.9,8.4,8,17,22
12-06-2024,0.41,14.8,8.1,7.9,16,4.9,7.8,8,22,22
13-06-2024,0.51,16.7,8.1,7.9,16,5,9.7,14,31,31
14-06-2024,0.49,15,8.1,7.9,16,5,9.3,11,33,33
15-06-2024,0.45,16.4,8,8.1,16.1,4.9,8.6,11,32,32
16-06-2024,0.38,15.2,8,8.3,16.3,4.9,7.3,11,28,28
17-06-2024,0.41,15.7,8.1,7.9,16.1,5,7.7,10,29,29
18-06-2024,0.43,17.5,8.2,7.9,16,4.9,8.4,6,23,23
19-06-2024,0.4,16.2,8.1,7.9,16.1,5,7.6,7,20,20
20-06-2024,0.43,14.3,8,8,16.1,5,8.1,6,17,22
21-06-2024,0.37,15,7.9,8.1,16.1,4.9,7.1,6,18,20
22-06-2024,0.45,13,8,7.8,15.8,5,8.6,5,12,23
23-06-2024,0.49,11.1,7.9,8.1,16.1,5,9.4,6,13,25
24-06-2024,0.44,13.2,8.1,8,16.1,4.9,8.4,6,13,22
25-06-2024,0.53,8,8.2,8.1,16.3,4.9,10,6,13,27
26-06-2024,0.45,9.8,8.1,8.1,16.2,4.9,8.5,5,12,23
27-06-2024,0.36,11,8.2,8,16.1,4.9,6.9,6,13,20
